Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,30.00000,11.50000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,35.00000,12.10000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,40.00000,13.50000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1000.00000,45.00000,14.20000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,1.00000,5.00000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,5.00000,5.50000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,10.00000,5.66667,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,15.00000,7.33333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,20.00000,8.50000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,25.00000,9.33333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,30.00000,10.33333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,35.00000,11.16667,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,40.00000,11.00000,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1400.00000,45.00000,11.66667,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,45.00000,11.11111,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,40.00000,10.17214,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,35.00000,9.54617,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,30.00000,8.45070,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,25.00000,8.45070,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,20.00000,8.13772,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,15.00000,6.72926,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,10.00000,6.25978,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,5.00000,5.00782,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,1361.00000,1.00000,4.85133,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,45.00000,14.45578,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,824.00000,40.00000,13.77551,
